Address,Description,Write,MaxDisplay,Multiplier,Unit,Low,High,Value,Comment
78,FA4 Temperature,FALSE,700,0.1,deg.C,20,55,447,Status Value
79,FA4 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
80,FA5 Voltage1,FALSE,999,0.1,V,45,55,479,Status Value
81,FA5 Voltage2,FALSE,999,0.1,V,45,55,502,Status Value
82,FA5 Voltage3,FALSE,999,0.1,V,45,55,511,Status Value
83,FA5 Voltage4,FALSE,999,0.1,V,45,55,491,Status Value
84,FA5 Current1,FALSE,666,0.1,A,5,55,182,Status Value
85,FA5 Current2,FALSE,666,0.1,A,5,55,377,Status Value
86,FA5 Current3,FALSE,666,0.1,A,5,55,399,Status Value
87,FA5 Current4,FALSE,666,0.1,A,5,55,228,Status Value
88,FA5 Temperature,FALSE,700,0.1,deg.C,20,55,413,Status Value
89,FA5 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
90,FA6 Voltage1,FALSE,999,0.1,V,45,55,519,Status Value
91,FA6 Voltage2,FALSE,999,0.1,V,45,55,522,Status Value
92,FA6 Voltage3,FALSE,999,0.1,V,45,55,509,Status Value
93,FA6 Voltage4,FALSE,999,0.1,V,45,55,514,Status Value
94,FA6 Current1,FALSE,666,0.1,A,5,55,201,Status Value
95,FA6 Current2,FALSE,666,0.1,A,5,55,185,Status Value
96,FA6 Current3,FALSE,666,0.1,A,5,55,307,Status Value
97,FA6 Current4,FALSE,666,0.1,A,5,55,366,Status Value
98,FA6 Temperature,FALSE,700,0.1,deg.C,20,55,332,Status Value
99,FA6 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
100,FA7 Voltage1,FALSE,999,0.1,V,45,55,515,Status Value
101,FA7 Voltage2,FALSE,999,0.1,V,45,55,499,Status Value
102,FA7 Voltage3,FALSE,999,0.1,V,45,55,481,Status Value
103,FA7 Voltage4,FALSE,999,0.1,V,45,55,511,Status Value
104,FA7 Current1,FALSE,666,0.1,A,5,55,344,Status Value
105,FA7 Current2,FALSE,666,0.1,A,5,55,192,Status Value
106,FA7 Current3,FALSE,666,0.1,A,5,55,280,Status Value
107,FA7 Current4,FALSE,666,0.1,A,5,55,416,Status Value
108,FA7 Temperature,FALSE,700,0.1,deg.C,20,55,448,Status Value
109,FA7 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
110,FA8 Voltage1,FALSE,999,0.1,V,45,55,487,Status Value
111,FA8 Voltage2,FALSE,999,0.1,V,45,55,511,Status Value
112,FA8 Voltage3,FALSE,999,0.1,V,45,55,478,Status Value
113,FA8 Voltage4,FALSE,999,0.1,V,45,55,497,Status Value
114,FA8 Current1,FALSE,666,0.1,A,5,55,376,Status Value
115,FA8 Current2,FALSE,666,0.1,A,5,55,417,Status Value
116,FA8 Current3,FALSE,666,0.1,A,5,55,344,Status Value
117,FA8 Current4,FALSE,666,0.1,A,5,55,300,Status Value
118,FA8 Temperature,FALSE,700,0.1,deg.C,20,55,441,Status Value
119,FA8 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
120,FA9 Voltage1,FALSE,999,0.1,V,45,55,504,Status Value
121,FA9 Voltage2,FALSE,999,0.1,V,45,55,488,Status Value
122,FA9 Voltage3,FALSE,999,0.1,V,45,55,523,Status Value
123,FA9 Voltage4,FALSE,999,0.1,V,45,55,506,Status Value
124,FA9 Current1,FALSE,666,0.1,A,5,55,385,Status Value
125,FA9 Current2,FALSE,666,0.1,A,5,55,227,Status Value
126,FA9 Current3,FALSE,666,0.1,A,5,55,221,Status Value
127,FA9 Current4,FALSE,666,0.1,A,5,55,187,Status Value
128,FA9 Temperature,FALSE,700,0.1,deg.C,20,55,324,Status Value
129,FA9 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
130,FA10 Voltage1,FALSE,999,0.1,V,45,55,476,Status Value
131,FA10 Voltage2,FALSE,999,0.1,V,45,55,478,Status Value
132,FA10 Voltage3,FALSE,999,0.1,V,45,55,481,Status Value
133,FA10 Voltage4,FALSE,999,0.1,V,45,55,496,Status Value
134,FA10 Current1,FALSE,666,0.1,A,5,55,422,Status Value
135,FA10 Current2,FALSE,666,0.1,A,5,55,207,Status Value
136,FA10 Current3,FALSE,666,0.1,A,5,55,178,Status Value
137,FA10 Current4,FALSE,666,0.1,A,5,55,423,Status Value
138,FA10 Temperature,FALSE,700,0.1,deg.C,20,55,437,Status Value
139,FA10 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
140,FA11 Voltage1,FALSE,999,0.1,V,45,55,503,Status Value
141,FA11 Voltage2,FALSE,999,0.1,V,45,55,501,Status Value
142,FA11 Voltage3,FALSE,999,0.1,V,45,55,494,Status Value
143,FA11 Voltage4,FALSE,999,0.1,V,45,55,477,Status Value
144,FA11 Current1,FALSE,666,0.1,A,5,55,274,Status Value
145,FA11 Current2,FALSE,666,0.1,A,5,55,194,Status Value
146,FA11 Current3,FALSE,666,0.1,A,5,55,411,Status Value
147,FA11 Current4,FALSE,666,0.1,A,5,55,400,Status Value
148,FA11 Temperature,FALSE,700,0.1,deg.C,20,55,310,Status Value
149,FA11 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
150,FA12 Voltage1,FALSE,999,0.1,V,45,55,502,Status Value
151,FA12 Voltage2,FALSE,999,0.1,V,45,55,478,Status Value
152,FA12 Voltage3,FALSE,999,0.1,V,45,55,501,Status Value
153,FA12 Voltage4,FALSE,999,0.1,V,45,55,503,Status Value
154,FA12 Current1,FALSE,666,0.1,A,5,55,415,Status Value
155,FA12 Current2,FALSE,666,0.1,A,5,55,206,Status Value
156,FA12 Current3,FALSE,666,0.1,A,5,55,404,Status Value
157,FA12 Current4,FALSE,666,0.1,A,5,55,195,Status Value
158,FA12 Temperature,FALSE,700,0.1,deg.C,20,55,440,Status Value
159,FA12 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
160,FA13 Voltage1,FALSE,999,0.1,V,45,55,479,Status Value
161,FA13 Voltage2,FALSE,999,0.1,V,45,55,522,Status Value
162,FA13 Voltage3,FALSE,999,0.1,V,45,55,521,Status Value
163,FA13 Voltage4,FALSE,999,0.1,V,45,55,506,Status Value
164,FA13 Current1,FALSE,666,0.1,A,5,55,306,Status Value
165,FA13 Current2,FALSE,666,0.1,A,5,55,290,Status Value
166,FA13 Current3,FALSE,666,0.1,A,5,55,336,Status Value
167,FA13 Current4,FALSE,666,0.1,A,5,55,367,Status Value
168,FA13 Temperature,FALSE,700,0.1,deg.C,20,55,307,Status Value
169,FA13 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
170,FA14 Voltage1,FALSE,999,0.1,V,45,55,516,Status Value
171,FA14 Voltage2,FALSE,999,0.1,V,45,55,517,Status Value
172,FA14 Voltage3,FALSE,999,0.1,V,45,55,498,Status Value
173,FA14 Voltage4,FALSE,999,0.1,V,45,55,524,Status Value
174,FA14 Current1,FALSE,666,0.1,A,5,55,273,Status Value
175,FA14 Current2,FALSE,666,0.1,A,5,55,225,Status Value
176,FA14 Current3,FALSE,666,0.1,A,5,55,208,Status Value
177,FA14 Current4,FALSE,666,0.1,A,5,55,382,Status Value
178,FA14 Temperature,FALSE,700,0.1,deg.C,20,55,355,Status Value
179,FA14 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
180,FA15 Voltage1,FALSE,999,0.1,V,45,55,520,Status Value
181,FA15 Voltage2,FALSE,999,0.1,V,45,55,515,Status Value
182,FA15 Voltage3,FALSE,999,0.1,V,45,55,507,Status Value
183,FA15 Voltage4,FALSE,999,0.1,V,45,55,524,Status Value
184,FA15 Current1,FALSE,666,0.1,A,5,55,379,Status Value
185,FA15 Current2,FALSE,666,0.1,A,5,55,339,Status Value
186,FA15 Current3,FALSE,666,0.1,A,5,55,195,Status Value
187,FA15 Current4,FALSE,666,0.1,A,5,55,255,Status Value
188,FA15 Temperature,FALSE,700,0.1,deg.C,20,55,327,Status Value
189,FA15 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
190,FA16 Voltage1,FALSE,999,0.1,V,45,55,493,Status Value
191,FA16 Voltage2,FALSE,999,0.1,V,45,55,513,Status Value
192,FA16 Voltage3,FALSE,999,0.1,V,45,55,497,Status Value
193,FA16 Voltage4,FALSE,999,0.1,V,45,55,511,Status Value
194,FA16 Current1,FALSE,666,0.1,A,5,55,216,Status Value
195,FA16 Current2,FALSE,666,0.1,A,5,55,419,Status Value
196,FA16 Current3,FALSE,666,0.1,A,5,55,405,Status Value
197,FA16 Current4,FALSE,666,0.1,A,5,55,395,Status Value
198,FA16 Temperature,FALSE,700,0.1,deg.C,20,55,407,Status Value
199,FA16 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
200,FA17 Voltage1,FALSE,999,0.1,V,45,55,487,Status Value
201,FA17 Voltage2,FALSE,999,0.1,V,45,55,505,Status Value
202,FA17 Voltage3,FALSE,999,0.1,V,45,55,506,Status Value
203,FA17 Voltage4,FALSE,999,0.1,V,45,55,487,Status Value
204,FA17 Current1,FALSE,666,0.1,A,5,55,298,Status Value
205,FA17 Current2,FALSE,666,0.1,A,5,55,210,Status Value
206,FA17 Current3,FALSE,666,0.1,A,5,55,223,Status Value
207,FA17 Current4,FALSE,666,0.1,A,5,55,196,Status Value
208,FA17 Temperature,FALSE,700,0.1,deg.C,20,55,434,Status Value
209,FA17 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
210,FA18 Voltage1,FALSE,999,0.1,V,45,55,522,Status Value
211,FA18 Voltage2,FALSE,999,0.1,V,45,55,488,Status Value
212,FA18 Voltage3,FALSE,999,0.1,V,45,55,511,Status Value
213,FA18 Voltage4,FALSE,999,0.1,V,45,55,509,Status Value
214,FA18 Current1,FALSE,666,0.1,A,5,55,250,Status Value
215,FA18 Current2,FALSE,666,0.1,A,5,55,349,Status Value
216,FA18 Current3,FALSE,666,0.1,A,5,55,318,Status Value
217,FA18 Current4,FALSE,666,0.1,A,5,55,207,Status Value
218,FA18 Temperature,FALSE,700,0.1,deg.C,20,55,375,Status Value
219,FA18 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
220,FA19 Voltage1,FALSE,999,0.1,V,45,55,486,Status Value
221,FA19 Voltage2,FALSE,999,0.1,V,45,55,500,Status Value
222,FA19 Voltage3,FALSE,999,0.1,V,45,55,505,Status Value
223,FA19 Voltage4,FALSE,999,0.1,V,45,55,498,Status Value
224,FA19 Current1,FALSE,666,0.1,A,5,55,352,Status Value
225,FA19 Current2,FALSE,666,0.1,A,5,55,287,Status Value
226,FA19 Current3,FALSE,666,0.1,A,5,55,333,Status Value
227,FA19 Current4,FALSE,666,0.1,A,5,55,194,Status Value
228,FA19 Temperature,FALSE,700,0.1,deg.C,20,55,300,Status Value
229,FA19 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
230,FA20 Voltage1,FALSE,999,0.1,V,45,55,476,Status Value
231,FA20 Voltage2,FALSE,999,0.1,V,45,55,506,Status Value
232,FA20 Voltage3,FALSE,999,0.1,V,45,55,511,Status Value
233,FA20 Voltage4,FALSE,999,0.1,V,45,55,521,Status Value
234,FA20 Current1,FALSE,666,0.1,A,5,55,185,Status Value
235,FA20 Current2,FALSE,666,0.1,A,5,55,323,Status Value
236,FA20 Current3,FALSE,666,0.1,A,5,55,360,Status Value
237,FA20 Current4,FALSE,666,0.1,A,5,55,315,Status Value
238,FA20 Temperature,FALSE,700,0.1,deg.C,20,55,337,Status Value
239,FA20 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
240,FA21 Voltage1,FALSE,999,0.1,V,45,55,510,Status Value
241,FA21 Voltage2,FALSE,999,0.1,V,45,55,476,Status Value
242,FA21 Voltage3,FALSE,999,0.1,V,45,55,499,Status Value
243,FA21 Voltage4,FALSE,999,0.1,V,45,55,495,Status Value
244,FA21 Current1,FALSE,666,0.1,A,5,55,311,Status Value
245,FA21 Current2,FALSE,666,0.1,A,5,55,393,Status Value
246,FA21 Current3,FALSE,666,0.1,A,5,55,197,Status Value
247,FA21 Current4,FALSE,666,0.1,A,5,55,411,Status Value
248,FA21 Temperature,FALSE,700,0.1,deg.C,20,55,395,Status Value
249,FA21 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
250,FA22 Voltage1,FALSE,999,0.1,V,45,55,486,Status Value
251,FA22 Voltage2,FALSE,999,0.1,V,45,55,499,Status Value
252,FA22 Voltage3,FALSE,999,0.1,V,45,55,478,Status Value
253,FA22 Voltage4,FALSE,999,0.1,V,45,55,494,Status Value
254,FA22 Current1,FALSE,666,0.1,A,5,55,408,Status Value
255,FA22 Current2,FALSE,666,0.1,A,5,55,384,Status Value
256,FA22 Current3,FALSE,666,0.1,A,5,55,256,Status Value
257,FA22 Current4,FALSE,666,0.1,A,5,55,321,Status Value
258,FA22 Temperature,FALSE,700,0.1,deg.C,20,55,341,Status Value
259,FA22 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
260,FA23 Voltage1,FALSE,999,0.1,V,45,55,507,Status Value
261,FA23 Voltage2,FALSE,999,0.1,V,45,55,486,Status Value
262,FA23 Voltage3,FALSE,999,0.1,V,45,55,509,Status Value
263,FA23 Voltage4,FALSE,999,0.1,V,45,55,516,Status Value
264,FA23 Current1,FALSE,666,0.1,A,5,55,252,Status Value
265,FA23 Current2,FALSE,666,0.1,A,5,55,211,Status Value
266,FA23 Current3,FALSE,666,0.1,A,5,55,290,Status Value
267,FA23 Current4,FALSE,666,0.1,A,5,55,228,Status Value
268,FA23 Temperature,FALSE,700,0.1,deg.C,20,55,446,Status Value
269,FA23 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
270,FA24 Voltage1,FALSE,999,0.1,V,45,55,518,Status Value
271,FA24 Voltage2,FALSE,999,0.1,V,45,55,509,Status Value
272,FA24 Voltage3,FALSE,999,0.1,V,45,55,499,Status Value
273,FA24 Voltage4,FALSE,999,0.1,V,45,55,483,Status Value
274,FA24 Current1,FALSE,666,0.1,A,5,55,240,Status Value
275,FA24 Current2,FALSE,666,0.1,A,5,55,305,Status Value
276,FA24 Current3,FALSE,666,0.1,A,5,55,352,Status Value
277,FA24 Current4,FALSE,666,0.1,A,5,55,208,Status Value
278,FA24 Temperature,FALSE,700,0.1,deg.C,20,55,404,Status Value
279,FA24 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
280,FA25 Voltage1,FALSE,999,0.1,V,45,55,513,Status Value
281,FA25 Voltage2,FALSE,999,0.1,V,45,55,488,Status Value
282,FA25 Voltage3,FALSE,999,0.1,V,45,55,499,Status Value
283,FA25 Voltage4,FALSE,999,0.1,V,45,55,517,Status Value
284,FA25 Current1,FALSE,666,0.1,A,5,55,339,Status Value
285,FA25 Current2,FALSE,666,0.1,A,5,55,184,Status Value
286,FA25 Current3,FALSE,666,0.1,A,5,55,373,Status Value
287,FA25 Current4,FALSE,666,0.1,A,5,55,402,Status Value
288,FA25 Temperature,FALSE,700,0.1,deg.C,20,55,397,Status Value
289,FA25 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
290,FA26 Voltage1,FALSE,999,0.1,V,45,55,516,Status Value
291,FA26 Voltage2,FALSE,999,0.1,V,45,55,477,Status Value
292,FA26 Voltage3,FALSE,999,0.1,V,45,55,507,Status Value
293,FA26 Voltage4,FALSE,999,0.1,V,45,55,490,Status Value
294,FA26 Current1,FALSE,666,0.1,A,5,55,279,Status Value
295,FA26 Current2,FALSE,666,0.1,A,5,55,377,Status Value
296,FA26 Current3,FALSE,666,0.1,A,5,55,289,Status Value
297,FA26 Current4,FALSE,666,0.1,A,5,55,341,Status Value
298,FA26 Temperature,FALSE,700,0.1,deg.C,20,55,298,Status Value
299,FA26 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
300,FA27 Voltage1,FALSE,999,0.1,V,45,55,523,Status Value
301,FA27 Voltage2,FALSE,999,0.1,V,45,55,502,Status Value
302,FA27 Voltage3,FALSE,999,0.1,V,45,55,499,Status Value
303,FA27 Voltage4,FALSE,999,0.1,V,45,55,508,Status Value
304,FA27 Current1,FALSE,666,0.1,A,5,55,370,Status Value
305,FA27 Current2,FALSE,666,0.1,A,5,55,337,Status Value
306,FA27 Current3,FALSE,666,0.1,A,5,55,340,Status Value
307,FA27 Current4,FALSE,666,0.1,A,5,55,195,Status Value
308,FA27 Temperature,FALSE,700,0.1,deg.C,20,55,300,Status Value
309,FA27 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
310,FA28 Voltage1,FALSE,999,0.1,V,45,55,483,Status Value
311,FA28 Voltage2,FALSE,999,0.1,V,45,55,521,Status Value
312,FA28 Voltage3,FALSE,999,0.1,V,45,55,494,Status Value
313,FA28 Voltage4,FALSE,999,0.1,V,45,55,480,Status Value
314,FA28 Current1,FALSE,666,0.1,A,5,55,372,Status Value
315,FA28 Current2,FALSE,666,0.1,A,5,55,264,Status Value
316,FA28 Current3,FALSE,666,0.1,A,5,55,178,Status Value
317,FA28 Current4,FALSE,666,0.1,A,5,55,392,Status Value
318,FA28 Temperature,FALSE,700,0.1,deg.C,20,55,371,Status Value
319,FA28 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
320,FA29 Voltage1,FALSE,999,0.1,V,45,55,518,Status Value
321,FA29 Voltage2,FALSE,999,0.1,V,45,55,506,Status Value
322,FA29 Voltage3,FALSE,999,0.1,V,45,55,515,Status Value
323,FA29 Voltage4,FALSE,999,0.1,V,45,55,492,Status Value
324,FA29 Current1,FALSE,666,0.1,A,5,55,268,Status Value
325,FA29 Current2,FALSE,666,0.1,A,5,55,368,Status Value
326,FA29 Current3,FALSE,666,0.1,A,5,55,297,Status Value
327,FA29 Current4,FALSE,666,0.1,A,5,55,357,Status Value
328,FA29 Temperature,FALSE,700,0.1,deg.C,20,55,340,Status Value
329,FA29 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
330,FA30 Voltage1,FALSE,999,0.1,V,45,55,519,Status Value
331,FA30 Voltage2,FALSE,999,0.1,V,45,55,488,Status Value
332,FA30 Voltage3,FALSE,999,0.1,V,45,55,485,Status Value
333,FA30 Voltage4,FALSE,999,0.1,V,45,55,491,Status Value
334,FA30 Current1,FALSE,666,0.1,A,5,55,274,Status Value
335,FA30 Current2,FALSE,666,0.1,A,5,55,323,Status Value
336,FA30 Current3,FALSE,666,0.1,A,5,55,401,Status Value
337,FA30 Current4,FALSE,666,0.1,A,5,55,324,Status Value
338,FA30 Temperature,FALSE,700,0.1,deg.C,20,55,430,Status Value
339,FA30 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
340,FA31 Voltage1,FALSE,999,0.1,V,45,55,520,Status Value
341,FA31 Voltage2,FALSE,999,0.1,V,45,55,505,Status Value
342,FA31 Voltage3,FALSE,999,0.1,V,45,55,493,Status Value
343,FA31 Voltage4,FALSE,999,0.1,V,45,55,475,Status Value
344,FA31 Current1,FALSE,666,0.1,A,5,55,394,Status Value
345,FA31 Current2,FALSE,666,0.1,A,5,55,370,Status Value
346,FA31 Current3,FALSE,666,0.1,A,5,55,339,Status Value
347,FA31 Current4,FALSE,666,0.1,A,5,55,224,Status Value
348,FA31 Temperature,FALSE,700,0.1,deg.C,20,55,380,Status Value
349,FA31 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
350,FA32 Voltage1,FALSE,999,0.1,V,45,55,495,Status Value
351,FA32 Voltage2,FALSE,999,0.1,V,45,55,493,Status Value
352,FA32 Voltage3,FALSE,999,0.1,V,45,55,494,Status Value
353,FA32 Voltage4,FALSE,999,0.1,V,45,55,500,Status Value
354,FA32 Current1,FALSE,666,0.1,A,5,55,196,Status Value
355,FA32 Current2,FALSE,666,0.1,A,5,55,272,Status Value
356,FA32 Current3,FALSE,666,0.1,A,5,55,357,Status Value
357,FA32 Current4,FALSE,666,0.1,A,5,55,229,Status Value
358,FA32 Temperature,FALSE,700,0.1,deg.C,20,55,307,Status Value
359,FA32 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
360,FA33 Voltage1,FALSE,999,0.1,V,45,55,499,Status Value
361,FA33 Voltage2,FALSE,999,0.1,V,45,55,507,Status Value
362,FA33 Voltage3,FALSE,999,0.1,V,45,55,512,Status Value
363,FA33 Voltage4,FALSE,999,0.1,V,45,55,499,Status Value
364,FA33 Current1,FALSE,666,0.1,A,5,55,380,Status Value
365,FA33 Current2,FALSE,666,0.1,A,5,55,417,Status Value
366,FA33 Current3,FALSE,666,0.1,A,5,55,307,Status Value
367,FA33 Current4,FALSE,666,0.1,A,5,55,305,Status Value
368,FA33 Temperature,FALSE,700,0.1,deg.C,20,55,450,Status Value
369,FA33 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
370,FA34 Voltage1,FALSE,999,0.1,V,45,55,505,Status Value
371,FA34 Voltage2,FALSE,999,0.1,V,45,55,515,Status Value
372,FA34 Voltage3,FALSE,999,0.1,V,45,55,488,Status Value
373,FA34 Voltage4,FALSE,999,0.1,V,45,55,488,Status Value
374,FA34 Current1,FALSE,666,0.1,A,5,55,285,Status Value
375,FA34 Current2,FALSE,666,0.1,A,5,55,333,Status Value
376,FA34 Current3,FALSE,666,0.1,A,5,55,189,Status Value
377,FA34 Current4,FALSE,666,0.1,A,5,55,185,Status Value
378,FA34 Temperature,FALSE,700,0.1,deg.C,20,55,443,Status Value
379,FA34 FPGA Version,FALSE,9999,0.01,none,none,none,110,Status Value
380,FA35 Voltage1,FALSE,999,0.1,V,45,55,491,Status Value
381,FA35 Voltage2,FALSE,999,0.1,V,45,55,481,Status Value
382,FA35 Voltage3,FALSE,999,0.1,V,45,55,490,Status Value
383,FA35 Voltage4,FALSE,999,0.1,V,45,55,503,Status Value
384,FA35 Current1,FALSE,666,0.1,A,5,55,353,Status Value
385,FA35 Current2,FALSE,666,0.1,A,5,55,236,Status Value
